Podjetja po obèinah, Slovenija, letno;;;;;;;;;;;;
;;;;;;;;;;;;
OBÈINE;2008 Prihodek [1000 EUR];2009 Prihodek [1000 EUR];2010 Prihodek [1000 EUR];2011 Prihodek [1000 EUR];2012 Prihodek [1000 EUR];2013 Prihodek [1000 EUR];2014 Prihodek [1000 EUR];2015 Prihodek [1000 EUR];2016 Prihodek [1000 EUR];2017 Prihodek [1000 EUR];2018 Prihodek [1000 EUR];2019 Prihodek [1000 EUR]
SLOVENIJA;95786283;83060213;86705208;90789676;90754575;90625516;93571789;95298760;98573630;108840205;117040613;121356615
Ajdovšèina;778127;612078;602787;560707;451104;395043;423106;441099;482964;547554;613954;703624
Ankaran/Ancarano;-;-;-;-;-;-;-;48909;59416;64628;62157;65418
Apaèe;21345;20135;19794;23888;25993;26230;23143;21935;23961;24932;24167;27489
Beltinci;131221;106944;62714;68057;74427;73157;81680;84634;73672;86893;100032;103717
Benedikt;11730;10813;12118;13002;13597;15049;18844;18735;18440;23536;26953;27658
Bistrica ob Sotli;6559;7964;7602;7160;6689;6773;8484;7863;9451;9060;9384;10954
Bled;279478;219902;226920;277903;273544;205345;211105;200058;224769;251585;276325;257910
Bloke;32455;25071;23087;20272;13992;9206;15273;12927;17274;20157;21726;19106
Bohinj;47935;56465;59450;61377;57125;59950;64539;69350;80601;92003;104137;110005
Borovnica;54383;46103;53882;58201;55068;56809;64671;61741;63774;73258;80404;79670
Bovec;84917;74658;72686;78326;102909;99835;93670;103163;110760;129840;137207;144481
Braslovèe;62865;51492;55408;60657;66555;66671;66769;70742;73370;78238;84181;92746
Brda;49757;50367;51428;56773;61300;63989;70829;78423;88472;92241;96262;109458
Brezovica;176123;152043;160559;179695;197705;199683;218967;238699;271879;347556;438682;499091
Brežice;375985;337634;367313;400378;404821;421764;420875;450690;499677;507012;569539;594381
Cankova;15353;11938;13315;15442;13359;12596;12099;12093;11608;15888;17228;18831
Celje;3606916;3248540;3340000;3495404;3291321;3179620;3215114;3262055;3398242;3696104;3902064;4132461
