"PLAÈA","STATISTIÈNA REGIJA","STAROST","SPOL","Povpreèje 2008","Povpreèje 2009","Povpreèje 2010","Povpreèje 2011","Povpreèje 2012","Povpreèje 2013","Povpreèje 2014","Povpreèje 2015","Povpreèje 2016","Povpreèje 2017","Povpreèje 2018","Povpreèje 2019"
"Bruto","SLOVENIJA","15-64 let","Moški",1469,1491,1559,1611,1635,1634,1673,1692,1726,1764,1830,1893
"Bruto","SLOVENIJA","15-64 let","Ženske",1367,1451,1505,1541,1554,1549,1587,1596,1629,1662,1705,1787
"Bruto","SLOVENIJA","15-24 let","Moški",913,913,979,1034,1051,1064,1097,1119,1139,1172,1233,1278
"Bruto","SLOVENIJA","15-24 let","Ženske",863,901,951,991,997,994,1006,1009,1026,1056,1097,1146
"Bruto","SLOVENIJA","25-34 let","Moški",1291,1295,1349,1381,1393,1384,1411,1421,1443,1482,1556,1621
"Bruto","SLOVENIJA","25-34 let","Ženske",1205,1253,1299,1320,1326,1315,1328,1326,1340,1365,1411,1474
"Bruto","SLOVENIJA","35-44 let","Moški",1532,1559,1625,1675,1705,1697,1732,1753,1781,1811,1879,1942
"Bruto","SLOVENIJA","35-44 let","Ženske",1372,1460,1511,1549,1567,1565,1599,1604,1634,1663,1703,1780
"Bruto","SLOVENIJA","45-54 let","Moški",1553,1584,1648,1704,1729,1729,1773,1792,1842,1885,1960,2038
"Bruto","SLOVENIJA","45-54 let","Ženske",1424,1520,1573,1600,1607,1592,1631,1638,1675,1718,1771,1867
"Bruto","SLOVENIJA","55-64 let","Moški",1764,1804,1900,1932,1939,1896,1899,1911,1928,1954,1996,2055
"Bruto","SLOVENIJA","55-64 let","Ženske",1874,1987,2037,2007,1995,1896,1884,1863,1873,1878,1905,1987
"Bruto","SLOVENIJA","65 let ali veè","Moški",4066,4233,4195,4051,3984,3821,3608,3634,3517,3338,3156,3175
"Bruto","SLOVENIJA","65 let ali veè","Ženske",3131,3431,3213,3327,3588,3496,3288,3373,3285,3255,3188,3196
"Bruto","Pomurska","15-64 let","Moški",1227,1288,1328,1382,1404,1399,1457,z,z,z,z,1685
"Bruto","Pomurska","15-64 let","Ženske",1135,1337,1331,1385,1373,1357,1427,z,z,z,z,1594
"Bruto","Pomurska","15-24 let","Moški",855,881,907,965,969,984,1003,z,z,z,1172,1220
"Bruto","Pomurska","15-24 let","Ženske",783,845,880,926,916,898,904,z,z,z,1012,1079
"Bruto","Pomurska","25-34 let","Moški",1110,1126,1165,1208,1227,1217,1247,1260,1290,1332,1398,1489
"Bruto","Pomurska","25-34 let","Ženske",1053,1130,1152,1185,1204,1179,1184,1191,1200,1226,1259,1338
"Bruto","Pomurska","35-44 let","Moški",1255,1322,1345,1393,1424,1432,1492,1500,1554,1597,1666,1742
"Bruto","Pomurska","35-44 let","Ženske",1095,1336,1303,1359,1354,1334,1397,1401,1404,1441,1485,1557
"Bruto","Pomurska","45-54 let","Moški",1305,1385,1421,1466,1486,1457,1530,1530,1572,1591,1647,1762
"Bruto","Pomurska","45-54 let","Ženske",1196,1458,1429,1470,1429,1407,1502,1480,1457,1477,1507,1630
"Bruto","Pomurska","55-64 let","Moški",1395,1527,1593,1643,1654,1632,1674,1660,1687,1715,z,1794
"Bruto","Pomurska","55-64 let","Ženske",1610,1866,1960,1916,1821,1707,1762,1720,1738,1735,z,1864
"Bruto","Pomurska","65 let ali veè","Moški",3840,3775,3264,4295,z,z,4106,z,z,z,z,3582
"Bruto","Pomurska","65 let ali veè","Ženske",z,z,z,z,z,z,z,z,z,z,z,3681
"Bruto","Podravska","15-64 let","Moški",1362,1377,1439,1499,1519,1522,1554,1562,1586,1643,1710,1779
"Bruto","Podravska","15-64 let","Ženske",1268,1349,1406,1432,1450,1444,1471,1483,1497,1545,1587,1668
"Bruto","Podravska","15-24 let","Moški",889,886,944,979,999,1020,1050,1084,1105,1140,1215,1276
"Bruto","Podravska","15-24 let","Ženske",789,843,906,937,949,945,961,970,954,1019,1054,1110
"Bruto","Podravska","25-34 let","Moški",1203,1205,1254,1285,1293,1286,1314,1319,1335,1390,1480,1556
"Bruto","Podravska","25-34 let","Ženske",1096,1150,1205,1229,1245,1225,1230,1227,1241,1267,1322,1383
"Bruto","Podravska","35-44 let","Moški",1396,1413,1476,1533,1564,1563,1589,1589,1610,1671,1744,1814
"Bruto","Podravska","35-44 let","Ženske",1259,1331,1384,1418,1433,1438,1457,1459,1484,1532,1566,1643
"Bruto","Podravska","45-54 let","Moški",1424,1446,1498,1571,1592,1595,1635,1644,1687,1737,1805,1887
"Bruto","Podravska","45-54 let","Ženske",1345,1432,1489,1491,1508,1495,1521,1523,1528,1583,1634,1731
"Bruto","Podravska","55-64 let","Moški",1662,1681,1758,1820,1792,1777,1763,1772,1758,1813,1840,1905
"Bruto","Podravska","55-64 let","Ženske",1704,1811,1864,1853,1843,1735,1727,1755,1722,1753,1776,1852
"Bruto","Podravska","65 let ali veè","Moški",4144,4509,4434,4156,4037,3708,3909,3889,3827,3593,3258,3145
"Bruto","Podravska","65 let ali veè","Ženske",3063,3648,3551,3874,3928,3673,3479,3364,3314,3120,3097,3078
