leto,regija,prihodek
2008,Gorenjska,7185300
2009,Gorenjska,5822294
2010,Gorenjska,6213259
2011,Gorenjska,6437932
2012,Gorenjska,6457668
2013,Gorenjska,6340948
2014,Gorenjska,6700737
2015,Gorenjska,6822609
2016,Gorenjska,7074339
2017,Gorenjska,7755200
2018,Gorenjska,8405346
2019,Gorenjska,8771500
2008,Goriška,4448113
2009,Goriška,3670648
2010,Goriška,3885528
2011,Goriška,4028942
2012,Goriška,3838308
2013,Goriška,3709795
2014,Goriška,3852123
2015,Goriška,3963454
2016,Goriška,4122754
2017,Goriška,4628201
2018,Goriška,4725206
2019,Goriška,4954687
2008,Jugovzhodna Slovenija,5961848
2009,Jugovzhodna Slovenija,5422208
2010,Jugovzhodna Slovenija,5728914
2011,Jugovzhodna Slovenija,5685051
2012,Jugovzhodna Slovenija,5445192
2013,Jugovzhodna Slovenija,5153152
2014,Jugovzhodna Slovenija,5452396
2015,Jugovzhodna Slovenija,5692305
2016,Jugovzhodna Slovenija,5980393
2017,Jugovzhodna Slovenija,7049338
2018,Jugovzhodna Slovenija,7740496
2019,Jugovzhodna Slovenija,8066923
2008,Koroška,2283660
2009,Koroška,1752658
2010,Koroška,1840289
2011,Koroška,2058025
2012,Koroška,2020407
2013,Koroška,1955144
2014,Koroška,2021142
2015,Koroška,2074704
2016,Koroška,2140635
2017,Koroška,2371561
2018,Koroška,2506426
2019,Koroška,2541585
2008,Obalno-kraška,5576322
2009,Obalno-kraška,4544093
2010,Obalno-kraška,4753790
2011,Obalno-kraška,4931631
2012,Obalno-kraška,4753022
2013,Obalno-kraška,4893092
2014,Obalno-kraška,4970940
2015,Obalno-kraška,5019848
2016,Obalno-kraška,5169354
2017,Obalno-kraška,5620961
2018,Obalno-kraška,6229947
2019,Obalno-kraška,6299354
2008,Osrednjeslovenska,42212232
2009,Osrednjeslovenska,37578755
2010,Osrednjeslovenska,39013388
2011,Osrednjeslovenska,40528042
2012,Osrednjeslovenska,41121876
2013,Osrednjeslovenska,41636035
2014,Osrednjeslovenska,42626496
2015,Osrednjeslovenska,43414616
2016,Osrednjeslovenska,45134703
2017,Osrednjeslovenska,49305367
2018,Osrednjeslovenska,53286032
2019,Osrednjeslovenska,55552496
2008,Podravska,10955344
2009,Podravska,9192508
2010,Podravska,9632117
2011,Podravska,10092168
2012,Podravska,9865533
2013,Podravska,9921337
2014,Podravska,10293275
2015,Podravska,10345995
2016,Podravska,10451382
2017,Podravska,11338219
2018,Podravska,12171083
2019,Podravska,12563497
2008,Pomurska,2680297
2009,Pomurska,2300870
2010,Pomurska,2305183
2011,Pomurska,2465324
2012,Pomurska,2615038
2013,Pomurska,2586961
2014,Pomurska,2859623
2015,Pomurska,2664445
2016,Pomurska,2836448
2017,Pomurska,3085419
2018,Pomurska,3293240
2019,Pomurska,3457866
2008,Posavska,2152332
2009,Posavska,2096181
2010,Posavska,2255247
2011,Posavska,2781540
2012,Posavska,3225808
2013,Posavska,2981247
2014,Posavska,3097998
2015,Posavska,3620580
2016,Posavska,3587315
2017,Posavska,4518845
2018,Posavska,4678364
2019,Posavska,4565656
2008,Primorsko-notranjska,1303637
2009,Primorsko-notranjska,1120466
2010,Primorsko-notranjska,1209091
2011,Primorsko-notranjska,1278751
2012,Primorsko-notranjska,1255416
2013,Primorsko-notranjska,1299626
2014,Primorsko-notranjska,1431246
2015,Primorsko-notranjska,1469335
2016,Primorsko-notranjska,1467986
2017,Primorsko-notranjska,1526912
2018,Primorsko-notranjska,1654815
2019,Primorsko-notranjska,1628734
2008,Savinjska,9910320
2009,Savinjska,8588906
2010,Savinjska,8873675
2011,Savinjska,9460098
2012,Savinjska,9157552
2013,Savinjska,9184229
2014,Savinjska,9309987
2015,Savinjska,9262351
2016,Savinjska,9600906
2017,Savinjska,10569994
2018,Savinjska,11176914
2019,Savinjska,11713716
2008,Zasavska,1116882
2009,Zasavska,970626
2010,Zasavska,994722
2011,Zasavska,1042167
2012,Zasavska,998764
2013,Zasavska,963957
2014,Zasavska,955826
2015,Zasavska,948515
2016,Zasavska,1007417
2017,Zasavska,1070188
2018,Zasavska,1172746
2019,Zasavska,1240596
