leto,regija,spol,starost,placa,število študentov na 1000 prebivalcev
2008,Pomurska,m,15-24 let,855,45
2009,Pomurska,m,15-24 let,881,46
2010,Pomurska,m,15-24 let,907,48
2011,Pomurska,m,15-24 let,965,45
2012,Pomurska,m,15-24 let,969,45
2013,Pomurska,m,15-24 let,984,44
2014,Pomurska,m,15-24 let,1003,40
2018,Pomurska,m,15-24 let,1172,31
2019,Pomurska,m,15-24 let,1220,30
2008,Pomurska,ž,15-24 let,783,45
2009,Pomurska,ž,15-24 let,845,46
2010,Pomurska,ž,15-24 let,880,48
2011,Pomurska,ž,15-24 let,926,45
2012,Pomurska,ž,15-24 let,916,45
2013,Pomurska,ž,15-24 let,898,44
2014,Pomurska,ž,15-24 let,904,40
2018,Pomurska,ž,15-24 let,1012,31
2019,Pomurska,ž,15-24 let,1079,30
2008,Pomurska,m,25-34 let,1110,45
2009,Pomurska,m,25-34 let,1126,46
2010,Pomurska,m,25-34 let,1165,48
2011,Pomurska,m,25-34 let,1208,45
2012,Pomurska,m,25-34 let,1227,45
2013,Pomurska,m,25-34 let,1217,44
2014,Pomurska,m,25-34 let,1247,40
2015,Pomurska,m,25-34 let,1260,36
2016,Pomurska,m,25-34 let,1290,33
2017,Pomurska,m,25-34 let,1332,33
2018,Pomurska,m,25-34 let,1398,31
2019,Pomurska,m,25-34 let,1489,30
2008,Pomurska,ž,25-34 let,1053,45
2009,Pomurska,ž,25-34 let,1130,46
2010,Pomurska,ž,25-34 let,1152,48
2011,Pomurska,ž,25-34 let,1185,45
2012,Pomurska,ž,25-34 let,1204,45
2013,Pomurska,ž,25-34 let,1179,44
2014,Pomurska,ž,25-34 let,1184,40
2015,Pomurska,ž,25-34 let,1191,36
2016,Pomurska,ž,25-34 let,1200,33
2017,Pomurska,ž,25-34 let,1226,33
2018,Pomurska,ž,25-34 let,1259,31
2019,Pomurska,ž,25-34 let,1338,30
2008,Pomurska,m,35-44 let,1255,45
2009,Pomurska,m,35-44 let,1322,46
2010,Pomurska,m,35-44 let,1345,48
2011,Pomurska,m,35-44 let,1393,45
2012,Pomurska,m,35-44 let,1424,45
2013,Pomurska,m,35-44 let,1432,44
2014,Pomurska,m,35-44 let,1492,40
2015,Pomurska,m,35-44 let,1500,36
2016,Pomurska,m,35-44 let,1554,33
2017,Pomurska,m,35-44 let,1597,33
2018,Pomurska,m,35-44 let,1666,31
2019,Pomurska,m,35-44 let,1742,30
2008,Pomurska,ž,35-44 let,1095,45
2009,Pomurska,ž,35-44 let,1336,46
2010,Pomurska,ž,35-44 let,1303,48
2011,Pomurska,ž,35-44 let,1359,45
2012,Pomurska,ž,35-44 let,1354,45
2013,Pomurska,ž,35-44 let,1334,44
2014,Pomurska,ž,35-44 let,1397,40
2015,Pomurska,ž,35-44 let,1401,36
2016,Pomurska,ž,35-44 let,1404,33
2017,Pomurska,ž,35-44 let,1441,33
2018,Pomurska,ž,35-44 let,1485,31
2019,Pomurska,ž,35-44 let,1557,30
2008,Pomurska,m,45-54 let,1305,45
2009,Pomurska,m,45-54 let,1385,46
2010,Pomurska,m,45-54 let,1421,48
2011,Pomurska,m,45-54 let,1466,45
2012,Pomurska,m,45-54 let,1486,45
2013,Pomurska,m,45-54 let,1457,44
2014,Pomurska,m,45-54 let,1530,40
2015,Pomurska,m,45-54 let,1530,36
2016,Pomurska,m,45-54 let,1572,33
2017,Pomurska,m,45-54 let,1591,33
2018,Pomurska,m,45-54 let,1647,31
2019,Pomurska,m,45-54 let,1762,30
2008,Pomurska,ž,45-54 let,1196,45
2009,Pomurska,ž,45-54 let,1458,46
